kratica_drzave,geo_visina,geo_sirina
DEN,56°N,10°E
CAN,60°N,110°W
POL,52°N,20°E
ITA,43°N,12°E
NOR,61°N,8°E
NED,52°22′N,4°53′E
CHN,39°55′N,116°23′E
FIN,60°10′15″N,24°56′15″E
SWE,63°N,16°E
JPN,35°41′N,139°46′E
HUN,47°N,20°E
GBR,54°N,2°W
FRA,47°N,2°E
LAT,57°N,25°E
RUS,55°45′21″N,37°37′02″E
SUN,55°45′21″N,37°37′02″E
KAZ,51°10′N,71°26′E
BLR,53°N,27°E
GER,51°N,9°E
EST,59°N,26°E
ROC,55°45′21″N,37°37′02″E
SUI,46°57′N,7°27′E
USA,38°53′N,77°01′W
GDR,51°N,9°E
ROU,44°25′N,26°06′E
FRG,51°N,9°E
NZL,41°18′S,174°47′E
UKR,49°N,32°E
AUT,47°20′N,13°20′E
KOR,36°N,128°E
BEL,50°50′N,4°00′E
PRK,40°N,127°E
MGL,48°N,106°E
TPE,39°55′N,116°23′E
AUS,35°18′29″S,149°07′28″E
CZE,50°05′N,14°28′E
POR,38°46′N,9°9′W
